연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자,口 아라비아,
201,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,靑杞,경상도 / 안동대도호부 / 영해도호부,청기,二百二十四。,224,224,0
202,5,wda_40006002_002,慶尙道 / 安東大都護府 / 順興都護府,,경상도 / 안동대도호부 / 순흥도호부,,一千六百七十九。,1679,1679,0
203,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,本郡,경상도 / 안동대도호부 / 예천군,본군,三千八百。,3801,3800,1
204,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,多仁,경상도 / 안동대도호부 / 예천군,다인,一千四百二十七。,1427,1427,0
205,5,wda_40006002_004,慶尙道 / 安東大都護府 / 榮川郡,,경상도 / 안동대도호부 / 영천군,,三千八十七。,3087,3087,0
206,5,wda_40006002_005,慶尙道 / 安東大都護府 / 永川郡,,경상도 / 안동대도호부 / 영천군,,三千六百七十二。,3672,3672,0
207,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,靑鳧,경상도 / 안동대도호부 / 청송군,청부,二百十七。,207,217,-10
208,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,松生,경상도 / 안동대도호부 / 청송군,송생,三百四十三。,343,343,0
209,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,安德,경상도 / 안동대도호부 / 청송군,안덕,二百五十五。,255,255,0
210,5,wda_40006002_007,慶尙道 / 安東大都護府 / 義城縣,,경상도 / 안동대도호부 / 의성현,,一千九百五十五。,1955,1955,0
211,5,wda_40006002_008,慶尙道 / 安東大都護府 / 盈德縣,,경상도 / 안동대도호부 / 영덕현,,一千一百單十。,1101,1110,-9
212,5,wda_40006002_009,慶尙道 / 安東大都護府 / 禮安縣,,경상도 / 안동대도호부 / 예안현,,七百四十九。,749,749,0
213,5,wda_40006002_010,慶尙道 / 安東大都護府 / 河陽縣,,경상도 / 안동대도호부 / 하양현,,一千八十七。,1087,1087,0
214,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,本縣,경상도 / 안동대도호부 / 기천현,본현,七百單九。,709,709,0
215,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,殷豐,경상도 / 안동대도호부 / 기천현,은풍,三百單七。,307,307,0
216,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,本縣,경상도 / 안동대도호부 / 인동현,본현,一千八十六。,1086,1086,0
217,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,若木,경상도 / 안동대도호부 / 인동현,약목,一千一百二。,1102,1102,0
218,5,wda_40006002_013,慶尙道 / 安東大都護府 / 奉化縣,,경상도 / 안동대도호부 / 봉화현,,四百七十三。,473,473,0
219,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,本縣,경상도 / 안동대도호부 / 의흥현,본현,九百五十五。,955,955,0
220,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,缶溪,경상도 / 안동대도호부 / 의흥현,부계,四百七十九。,479,479,0
221,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,本縣,경상도 / 안동대도호부 / 신녕현,본현,一千三百單一。,1301,1301,0
222,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,梨旨,경상도 / 안동대도호부 / 신녕현,이지,一百九十八。,198,198,0
223,5,wda_40006002_016,慶尙道 / 安東大都護府 / 眞寶縣,,경상도 / 안동대도호부 / 진보현,,五百二十六。,526,526,0
224,5,wda_40006002_017,慶尙道 / 安東大都護府 / 比安縣,比屋,경상도 / 안동대도호부 / 비안현,비옥,一千一百單二。,1102,1102,0
225,5,wda_40006002_017,慶尙道 / 安東大都護府 / 比安縣,安貞,경상도 / 안동대도호부 / 비안현,안정,八百七十。,871,870,1
226,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,本州,경상도 / 상주목 / 성주목,본주,五千八百七。,5807,5807,0
227,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,加利,경상도 / 상주목 / 성주목,가리,九百二十四。,924,924,0
228,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,花園,경상도 / 상주목 / 성주목,화원,一千三百六十單一。,1361,1361,0
229,5,wda_40006003_001,慶尙道 / 尙州牧 / 星州牧,八莒,경상도 / 상주목 / 성주목,팔거,一千四百八十單一。,1481,1481,0
230,5,wda_40006003_002,慶尙道 / 尙州牧 / 善山都護府,本府,경상도 / 상주목 / 선산도호부,본부,四千二百十八。,4208,4218,-10
231,5,wda_40006003_002,慶尙道 / 尙州牧 / 善山都護府,海平,경상도 / 상주목 / 선산도호부,해평,一千三百八十九。,1389,1389,0
232,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,本郡,경상도 / 상주목 / 합천군,본군,一千五百一十七。,1517,1517,0
233,5,wda_40006003_003,慶尙道 / 尙州牧 / 陜川郡,冶爐,경상도 / 상주목 / 합천군,야로,八百四十四。,844,844,0
234,5,wda_40006003_004,慶尙道 / 尙州牧 / 草溪郡,,경상도 / 상주목 / 초계군,,二千五百三十七。,2537,2537,0
235,5,wda_40006003_005,慶尙道 / 尙州牧 / 金山郡,,경상도 / 상주목 / 금산군,,三千六十四。,3064,3064,0
236,5,wda_40006003_006,慶尙道 / 尙州牧 / 高靈縣,,경상도 / 상주목 / 고령현,,一千七百二十二。,1722,1722,0
237,5,wda_40006003_007,慶尙道 / 尙州牧 / 開寧縣,,경상도 / 상주목 / 개녕현,,二千三百五十九。,2359,2359,0
238,5,wda_40006003_008,慶尙道 / 尙州牧 / 咸昌縣,,경상도 / 상주목 / 함창현,,二千一百四十。,2140,2140,0
239,5,wda_40006003_009,慶尙道 / 尙州牧 / 龍宮縣,,경상도 / 상주목 / 용궁현,,二千一百二十五。,2125,2125,0
240,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,本縣,경상도 / 상주목 / 문경현,본현,一千六十五。,1065,1065,0
241,5,wda_40006003_010,慶尙道 / 尙州牧 / 聞慶縣,加恩,경상도 / 상주목 / 문경현,가은,七百二十。,720,720,0
242,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,本縣,경상도 / 상주목 / 군위현,본현,六百七十七。,677,677,0
243,5,wda_40006003_011,慶尙道 / 尙州牧 / 軍威縣,孝靈,경상도 / 상주목 / 군위현,효령,三百七十五。,375,375,0
244,5,wda_40006003_012,慶尙道 / 尙州牧 / 知禮縣,,경상도 / 상주목 / 지례현,,一千二百。,1201,1200,1
245,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,本府,경상도 / 진주목 / 김해도호부,본부,六千六百四十二。,6642,6642,0
246,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,熊神,경상도 / 진주목 / 김해도호부,웅신,三百十八。,308,318,-10
247,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,莞浦,경상도 / 진주목 / 김해도호부,완포,一千七十九。,1079,1079,0
248,5,wda_40006004_002,慶尙道 / 晉州牧 / 昌原都護府,,경상도 / 진주목 / 창원도호부,,四千九百五十五。,4955,4955,0
249,5,wda_40006004_003,慶尙道 / 晉州牧 / 咸安郡,,경상도 / 진주목 / 함안군,,三千二百六十六。,3266,3266,0
250,5,wda_40006004_004,慶尙道 / 晉州牧 / 咸陽郡,,경상도 / 진주목 / 함양군,,一千九百四十八。,1948,1948,0
251,5,wda_40006004_005,慶尙道 / 晉州牧 / 昆南郡,,경상도 / 진주목 / 곤남군,,一千三百。,1300,1300,0
252,5,wda_40006004_006,慶尙道 / 晉州牧 / 固城縣,,경상도 / 진주목 / 고성현,,二千八百八十五。,2885,2885,0
253,5,wda_40006004_007,慶尙道 / 晉州牧 / 巨濟縣,,경상도 / 진주목 / 거제현,,四百二十三。,423,423,0
254,5,wda_40006004_008,慶尙道 / 晉州牧 / 泗川縣,,경상도 / 진주목 / 사천현,,一千八百十七。,1807,1817,-10
255,5,wda_40006004_009,慶尙道 / 晉州牧 / 居昌縣,,경상도 / 진주목 / 거창현,,一千六百四十。,1640,1640,0
256,5,wda_40006004_010,慶尙道 / 晉州牧 / 河東縣,,경상도 / 진주목 / 하동현,,一千一百八。,1108,1108,0
257,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,本縣,경상도 / 진주목 / 진성현,본현,八百七十二。,872,872,0
258,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,丹溪,경상도 / 진주목 / 진성현,단계,四百九十六。,496,496,0
259,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,本縣,경상도 / 진주목 / 칠원현,본현,一千三百三十單一。,1331,1331,0
260,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,龜山,경상도 / 진주목 / 칠원현,구산,三百。,300,300,0
261,5,wda_40006004_013,慶尙道 / 晉州牧 / 山陰縣,,경상도 / 진주목 / 산음현,,一千一百三十八。,1138,1138,0
262,5,wda_40006004_014,慶尙道 / 晉州牧 / 安陰縣,,경상도 / 진주목 / 안음현,,七百九十三。,793,793,0
263,5,wda_40006004_015,慶尙道 / 晉州牧 / 三嘉縣,,경상도 / 진주목 / 삼가현,,二千二十七。,2027,2027,0
264,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,本縣,경상도 / 진주목 / 의령현,본현,一千六百二十九。,1629,1629,0
265,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,新繁,경상도 / 진주목 / 의령현,신번,九百八十二。,982,982,0
266,5,wda_40006004_017,慶尙道 / 晉州牧 / 鎭海縣,,경상도 / 진주목 / 진해현,,九百五十三。,953,953,0
267,5,wda_40007001_001,全羅道 / 全州府 / 珍山郡,,전라도 / 전주부 / 진산군,,五百十四。,504,514,-10
268,5,wda_40007001_002,全羅道 / 全州府 / 錦山郡,,전라도 / 전주부 / 금산군,,一千八百九十。,1890,1890,0
269,5,wda_40007001_003,全羅道 / 全州府 / 益山郡,,전라도 / 전주부 / 익산군,,一千六百二十三。,1623,1623,0
270,5,wda_40007001_004,全羅道 / 全州府 / 古阜郡,,전라도 / 전주부 / 고부군,,一千五百九十二。,1592,1592,0
271,5,wda_40007001_005,全羅道 / 全州府 / 金堤郡,,전라도 / 전주부 / 김제군,,二千六十五。,2065,2065,0
272,5,wda_40007001_006,全羅道 / 全州府 / 金溝縣,,전라도 / 전주부 / 금구현,,一千二百單七。,1207,1207,0
273,5,wda_40007001_007,全羅道 / 全州府 / 萬頃縣,,전라도 / 전주부 / 만경현,,七百二十七。,727,727,0
274,5,wda_40007001_008,全羅道 / 全州府 / 臨陂縣,,전라도 / 전주부 / 임피현,,一千九百四十九。,1949,1949,0
275,5,wda_40007001_009,全羅道 / 全州府 / 沃溝縣,,전라도 / 전주부 / 옥구현,,一千一百九十四。,1194,1194,0
276,5,wda_40007001_010,全羅道 / 全州府 / 咸悅縣,,전라도 / 전주부 / 함열현,,一千三百八十四。,1384,1384,0
277,5,wda_40007001_011,全羅道 / 全州府 / 龍安縣,,전라도 / 전주부 / 용안현,,六百六十二。,662,662,0
278,5,wda_40007001_012,全羅道 / 全州府 / 扶安縣,,전라도 / 전주부 / 부안현,,一千六百六十二。,1662,1662,0
279,5,wda_40007001_013,全羅道 / 全州府 / 井邑縣,,전라도 / 전주부 / 정읍현,,八百五十八。,858,858,0
280,5,wda_40007001_014,全羅道 / 全州府 / 泰仁縣,,전라도 / 전주부 / 태인현,,一千五百二十六。,1526,1526,0
281,5,wda_40007001_015,全羅道 / 全州府 / 高山縣,,전라도 / 전주부 / 고산현,,二千二十八。,2028,2028,0
282,5,wda_40007001_016,全羅道 / 全州府 / 礪山縣,,전라도 / 전주부 / 여산현,,一千四百十九。,1409,1419,-10
