연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자
354,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,本縣,강원도 / 춘천도호부 / 양구현,본현,"二百九十七,",297
355,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,方山,강원도 / 춘천도호부 / 양구현,방산,"二十,",21
356,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,本縣,강원도 / 춘천도호부 / 인제현,본현,"一百二十五,",120
357,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,瑞和,강원도 / 춘천도호부 / 인제현,서화,"七十二,",72
358,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,本郡,강원도 / 간성군 / 고성군,본군,"三百七十五,",375
359,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,安昌,강원도 / 간성군 / 고성군,안창,"四十六,",46
360,5,wda_40009006_002,江原道 / 杆城郡 / 通川郡,本郡,강원도 / 간성군 / 통천군,본군,"二百九十,",290
361,5,wda_40009006_002,江原道 / 杆城郡 / 通川郡,臨道,강원도 / 간성군 / 통천군,임도,"五十四,",54
362,5,wda_40009006_003,江原道 / 杆城郡 / 歙谷縣,,강원도 / 간성군 / 흡곡현,,"二百十九,",209
363,5,wda_40010001_001,平安道 / 平壤府 / 中和郡,,평안도 / 평양부 / 중화군,,"一千五百單三,",1503
364,5,wda_40010001_002,平安道 / 平壤府 / 祥原郡,,평안도 / 평양부 / 상원군,,"七百單三,",703
365,5,wda_40010001_003,平安道 / 平壤府 / 三登縣,,평안도 / 평양부 / 삼등현,,"三百七十五,",375
366,5,wda_40010001_004,平安道 / 平壤府 / 江東縣,,평안도 / 평양부 / 강동현,,"八百九十四,",894
367,5,wda_40010001_005,平安道 / 平壤府 / 順安縣,,평안도 / 평양부 / 순안현,,"六百六十四,",664
368,5,wda_40010001_006,平安道 / 平壤府 / 甑山縣,,평안도 / 평양부 / 증산현,,"三百單一,",301
369,5,wda_40010001_007,平安道 / 平壤府 / 咸從縣,,평안도 / 평양부 / 함종현,,"八百七,",807
370,5,wda_40010001_008,平安道 / 平壤府 / 三和縣,,평안도 / 평양부 / 삼화현,,"四百一十,",410
371,5,wda_40010001_009,平安道 / 平壤府 / 江西縣,,평안도 / 평양부 / 강서현,,"九百八十六,",986
372,5,wda_40010001_010,平安道 / 平壤府 / 龍岡縣,,평안도 / 평양부 / 용강현,,"一千七百二十四,",1724
373,5,wda_40010002_001,平安道 / 安州牧 / 成川都護府,,평안도 / 안주목 / 성천도호부,,"一千六十八,",1068
374,5,wda_40010002_002,平安道 / 安州牧 / 肅川都護府,,평안도 / 안주목 / 숙천도호부,,"一千三百十八,",1308
375,5,wda_40010002_003,平安道 / 安州牧 / 慈山郡,,평안도 / 안주목 / 자산군,,"五百九十一,",591
376,5,wda_40010002_004,平安道 / 安州牧 / 順川郡,,평안도 / 안주목 / 순천군,,"六百單二,",602
377,5,wda_40010002_005,平安道 / 安州牧 / 价川郡,,평안도 / 안주목 / 가천군,,"一千二百,",1200
378,5,wda_40010002_006,平安道 / 安州牧 / 德川郡,,평안도 / 안주목 / 덕천군,,"八百八十一,",881
379,5,wda_40010002_007,平安道 / 安州牧 / 永柔縣,,평안도 / 안주목 / 영유현,,"八百十六,",806
380,5,wda_40010002_008,平安道 / 安州牧 / 孟山縣,,평안도 / 안주목 / 맹산현,,三百五十四、,354
381,5,wda_40010002_009,平安道 / 安州牧 / 殷山縣,,평안도 / 안주목 / 은산현,,"六百十二,",602
382,5,wda_40010002_010,平安道 / 安州牧 / 陽德縣,,평안도 / 안주목 / 양덕현,,"三百二十五,",325
383,5,wda_40010003_001,平安道 / 義州牧 / 定州牧,,평안도 / 의주목 / 정주목,,"一千三十三,",1033
384,5,wda_40010003_002,平安道 / 義州牧 / 麟山郡,,평안도 / 의주목 / 인산군,,"一百三十八,",138
385,5,wda_40010003_003,平安道 / 義州牧 / 龍川郡,,평안도 / 의주목 / 용천군,,"三百七十九,",379
386,5,wda_40010003_004,平安道 / 義州牧 / 鐵山郡,,평안도 / 의주목 / 철산군,,"二百三十四,",234
387,5,wda_40010003_005,平安道 / 義州牧 / 郭山郡,,평안도 / 의주목 / 곽산군,,"三百單二,",302
388,5,wda_40010003_006,平安道 / 義州牧 / 隨川郡,,평안도 / 의주목 / 수천군,,"五百二十七,",527
389,5,wda_40010003_007,平安道 / 義州牧 / 宣川郡,,평안도 / 의주목 / 선천군,,"五百二十八,",528
390,5,wda_40010003_008,平安道 / 義州牧 / 嘉山郡,,평안도 / 의주목 / 가산군,,"四百七十三,",473
391,5,wda_40010003_009,平安道 / 義州牧 / 定寧縣,,평안도 / 의주목 / 정녕현,,"二百九十七,",297
392,5,wda_40010004_001,平安道 / 朔州都護府 / 寧邊大都護府,,평안도 / 삭주도호부 / 영변대도호부,,"一千一百二十一,",1121
393,5,wda_40010004_002,平安道 / 朔州都護府 / 昌城郡,,평안도 / 삭주도호부 / 창성군,,"三百三十五,",335
394,5,wda_40010004_003,平安道 / 朔州都護府 / 碧潼郡,,평안도 / 삭주도호부 / 벽동군,,"四百十六,",406
395,5,wda_40010004_004,平安道 / 朔州都護府 / 雲山郡,,평안도 / 삭주도호부 / 운산군,,"二百二十五,",225
396,5,wda_40010004_005,平安道 / 朔州都護府 / 博川郡,,평안도 / 삭주도호부 / 박천군,,"五百九十九,",599
397,5,wda_40010004_006,平安道 / 朔州都護府 / 泰川郡,,평안도 / 삭주도호부 / 태천군,,"二百七十八,",278
398,5,wda_40010005_001,平安道 / 江界都護府 / 理山郡,,평안도 / 강계도호부 / 이산군,,"五百七十七,",577
399,5,wda_40010005_002,平安道 / 江界都護府 / 熙川郡,,평안도 / 강계도호부 / 희천군,,"三百十九,",309
400,5,wda_40010005_003,平安道 / 江界都護府 / 閭延郡,,평안도 / 강계도호부 / 여연군,,"二百六十二,",262
401,5,wda_40010005_004,平安道 / 江界都護府 / 慈城郡,,평안도 / 강계도호부 / 자성군,,"四百單五,",405
402,5,wda_40010005_005,平安道 / 江界都護府 / 茂昌郡,,평안도 / 강계도호부 / 무창군,,"一百二十七,",127
403,5,wda_40010005_006,平安道 / 江界都護府 / 虞芮郡,,평안도 / 강계도호부 / 우예군,,"七十七,",77
404,5,wda_40010005_007,平安道 / 江界都護府 / 渭原郡,,평안도 / 강계도호부 / 위원군,,"二百十七,",207
405,5,wda_40011001_001,咸吉道 / 咸興府 / 定平都護府,,함길도 / 함흥부 / 정평도호부,,"八百十一,",801
406,5,wda_40011001_002,咸吉道 / 咸興府 / 北靑都護府,,함길도 / 함흥부 / 북청도호부,,"一千五百三十九,",1539
407,5,wda_40011002_001,咸吉道 / 永興大都護府 / 高原郡,,함길도 / 영흥대도호부 / 고원군,,"六百三十五,",635
408,5,wda_40011002_002,咸吉道 / 永興大都護府 / 文川郡,,함길도 / 영흥대도호부 / 문천군,,"四百五十,",450
409,5,wda_40011002_003,咸吉道 / 永興大都護府 / 預原郡,,함길도 / 영흥대도호부 / 예원군,,"四百九十四,",494
410,5,wda_40011003_001,咸吉道 / 安邊都護府 / 宜川郡,,함길도 / 안변도호부 / 의천군,,"三百三,",303
411,5,wda_40011003_002,咸吉道 / 安邊都護府 / 龍津縣,,함길도 / 안변도호부 / 용진현,,"一百八十七,",187
412,5,wda_40011004_001,咸吉道 / 吉州牧 / 慶源都護府,,함길도 / 길주목 / 경원도호부,,"二百九十一,",291
413,5,wda_40011004_002,咸吉道 / 吉州牧 / 端川郡,,함길도 / 길주목 / 단천군,,"八百三十二,",832
414,5,wda_40011004_003,咸吉道 / 吉州牧 / 甲山郡,,함길도 / 길주목 / 갑산군,,"三百五十六,",356
415,5,wda_40011004_004,咸吉道 / 吉州牧 / 鏡城郡,,함길도 / 길주목 / 경성군,,"四百九,",409
,,,,,,,,472169
