연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자,戶 아라비아,
270,5,wda_40007001_004,全羅道 / 全州府 / 古阜郡,,전라도 / 전주부 / 고부군,,"三百五十七,",357,357,0
271,5,wda_40007001_005,全羅道 / 全州府 / 金堤郡,,전라도 / 전주부 / 김제군,,"四百九,",409,409,0
272,5,wda_40007001_006,全羅道 / 全州府 / 金溝縣,,전라도 / 전주부 / 금구현,,"二百六十二,",262,262,0
273,5,wda_40007001_007,全羅道 / 全州府 / 萬頃縣,,전라도 / 전주부 / 만경현,,"一百七十二,",172,172,0
274,5,wda_40007001_008,全羅道 / 全州府 / 臨陂縣,,전라도 / 전주부 / 임피현,,"三百九十六,",396,396,0
275,5,wda_40007001_009,全羅道 / 全州府 / 沃溝縣,,전라도 / 전주부 / 옥구현,,"二百五十七,",257,257,0
276,5,wda_40007001_010,全羅道 / 全州府 / 咸悅縣,,전라도 / 전주부 / 함열현,,"二百八十八,",288,288,0
277,5,wda_40007001_011,全羅道 / 全州府 / 龍安縣,,전라도 / 전주부 / 용안현,,"一百九十,",191,190,1
278,5,wda_40007001_012,全羅道 / 全州府 / 扶安縣,,전라도 / 전주부 / 부안현,,"三百二十三,",323,323,0
279,5,wda_40007001_013,全羅道 / 全州府 / 井邑縣,,전라도 / 전주부 / 정읍현,,"一百三十,",130,130,0
280,5,wda_40007001_014,全羅道 / 全州府 / 泰仁縣,,전라도 / 전주부 / 태인현,,"二百四十七,",247,247,0
281,5,wda_40007001_015,全羅道 / 全州府 / 高山縣,,전라도 / 전주부 / 고산현,,"二百六十,",261,260,1
282,5,wda_40007001_016,全羅道 / 全州府 / 礪山縣,,전라도 / 전주부 / 여산현,,"三百十二,",302,312,-10
283,5,wda_40007002_001,全羅道 / 羅州牧 / 海珍郡,,전라도 / 나주목 / 해진군,,"一百二十二,",122,122,0
284,5,wda_40007002_002,全羅道 / 羅州牧 / 靈巖郡,,전라도 / 나주목 / 영암군,,"三百三十三,",333,333,0
285,5,wda_40007002_003,全羅道 / 羅州牧 / 靈光郡,,전라도 / 나주목 / 영광군,,"三百三十一,",331,331,0
286,5,wda_40007002_004,全羅道 / 羅州牧 / 康津縣,,전라도 / 나주목 / 강진현,,"三百五十五,",355,355,0
287,5,wda_40007002_005,全羅道 / 羅州牧 / 茂長縣,,전라도 / 나주목 / 무장현,,"三百五十六,",356,356,0
288,5,wda_40007002_006,全羅道 / 羅州牧 / 咸平縣,,전라도 / 나주목 / 함평현,,"三百十五,",305,315,-10
289,5,wda_40007002_007,全羅道 / 羅州牧 / 南平縣,,전라도 / 나주목 / 남평현,,"二百三十六,",236,236,0
290,5,wda_40007002_008,全羅道 / 羅州牧 / 務安縣,,전라도 / 나주목 / 무안현,,"三百十五,",305,315,-10
291,5,wda_40007002_009,全羅道 / 羅州牧 / 高敞縣,,전라도 / 나주목 / 고창현,,"一百六十四,",164,164,0
292,5,wda_40007002_010,全羅道 / 羅州牧 / 興德縣,,전라도 / 나주목 / 흥덕현,,"二百十六,",206,216,-10
293,5,wda_40007002_011,全羅道 / 羅州牧 / 長城縣,,전라도 / 나주목 / 장성현,,"一百八十三,",183,183,0
294,5,wda_40007003_001,全羅道 / 南原都護府 / 淳昌郡,,전라도 / 남원도호부 / 순창군,,"三百十七,",307,317,-10
295,5,wda_40007003_002,全羅道 / 南原都護府 / 龍潭縣,,전라도 / 남원도호부 / 용담현,,"八十六,",86,86,0
296,5,wda_40007003_003,全羅道 / 南原都護府 / 求禮縣,,전라도 / 남원도호부 / 구례현,,"一百三十七,",137,137,0
297,5,wda_40007003_004,全羅道 / 南原都護府 / 任實縣,,전라도 / 남원도호부 / 임실현,,"一百三十八,",138,138,0
298,5,wda_40007003_005,全羅道 / 南原都護府 / 雲峯縣,,전라도 / 남원도호부 / 운봉현,,"一百三十九,",139,139,0
299,5,wda_40007003_006,全羅道 / 南原都護府 / 長水縣,,전라도 / 남원도호부 / 장수현,,"三百二十,",321,320,1
300,5,wda_40007003_007,全羅道 / 南原都護府 / 茂朱縣,,전라도 / 남원도호부 / 무주현,,"一百七十二,",172,172,0
301,5,wda_40007003_008,全羅道 / 南原都護府 / 鎭安縣,,전라도 / 남원도호부 / 진안현,,"一百六十九,",169,169,0
302,5,wda_40007003_009,全羅道 / 南原都護府 / 谷城縣,,전라도 / 남원도호부 / 곡성현,,"一百四十八,",148,148,0
303,5,wda_40007003_010,全羅道 / 南原都護府 / 光陽縣,,전라도 / 남원도호부 / 광양현,,"二百二十八,",228,228,0
304,5,wda_40007004_001,全羅道 / 長興都護府 / 潭陽都護府,,전라도 / 장흥도호부 / 담양도호부,,"三百四十六,",346,346,0
305,5,wda_40007004_002,全羅道 / 長興都護府 / 順天都護府,,전라도 / 장흥도호부 / 순천도호부,,"四百六十七,",467,467,0
306,5,wda_40007004_003,全羅道 / 長興都護府 / 茂珍郡,,전라도 / 장흥도호부 / 무진군,,"八百六十,",860,860,0
307,5,wda_40007004_004,全羅道 / 長興都護府 / 寶城郡,,전라도 / 장흥도호부 / 보성군,,"二百五十三,",253,253,0
308,5,wda_40007004_005,全羅道 / 長興都護府 / 樂安郡,,전라도 / 장흥도호부 / 낙안군,,"三百六,",306,306,0
309,5,wda_40007004_006,全羅道 / 長興都護府 / 高興縣,,전라도 / 장흥도호부 / 고흥현,,"一百五十七,",157,157,0
310,5,wda_40007004_007,全羅道 / 長興都護府 / 綾城縣,,전라도 / 장흥도호부 / 능성현,,"一百三十九,",139,139,0
311,5,wda_40007004_008,全羅道 / 長興都護府 / 昌平縣,,전라도 / 장흥도호부 / 창평현,,"二百十九,",209,219,-10
312,5,wda_40007004_009,全羅道 / 長興都護府 / 和順縣,,전라도 / 장흥도호부 / 화순현,,"二百九,",209,209,0
313,5,wda_40007004_010,全羅道 / 長興都護府 / 同福縣,,전라도 / 장흥도호부 / 동복현,,"九十,",90,90,0
314,5,wda_40007004_011,全羅道 / 長興都護府 / 玉果縣,,전라도 / 장흥도호부 / 옥과현,,"一百三十六,",136,136,0
315,5,wda_40007004_012,全羅道 / 長興都護府 / 珍原縣,,전라도 / 장흥도호부 / 진원현,,"一百四十四,",144,144,0
316,5,wda_40007005_001,全羅道 / 濟州牧 / 旌義縣,,전라도 / 제주목 / 정의현,,"六百八十五,",685,685,0
317,5,wda_40007005_002,全羅道 / 濟州牧 / 大靜縣,,전라도 / 제주목 / 대정현,,"一千三百五十七,",1357,1357,0
318,5,wda_40008001_001,黃海道 / 黃州牧 / 瑞興都護府,,황해도 / 황주목 / 서흥도호부,,"一千四百四十六,",1446,1446,0
319,5,wda_40008001_002,黃海道 / 黃州牧 / 鳳山郡,,황해도 / 황주목 / 봉산군,,"一千五百六十四,",1564,1564,0
320,5,wda_40008001_003,黃海道 / 黃州牧 / 安岳郡,,황해도 / 황주목 / 안악군,,"九百九十一,",991,991,0
321,5,wda_40008001_004,黃海道 / 黃州牧 / 遂安郡,,황해도 / 황주목 / 수안군,,"一千八十五,",1085,1085,0
322,5,wda_40008001_005,黃海道 / 黃州牧 / 谷山郡,,황해도 / 황주목 / 곡산군,,"八百十六,",806,816,-10
323,5,wda_40008001_006,黃海道 / 黃州牧 / 新恩縣,,황해도 / 황주목 / 신은현,,"八百單八,",808,808,0
324,5,wda_40008002_001,黃海道 / 海州牧 / 載寧郡,,황해도 / 해주목 / 재령군,,"一千二百九十三,",1293,1293,0
325,5,wda_40008002_002,黃海道 / 海州牧 / 甕津縣,,황해도 / 해주목 / 옹진현,,"三百二十七,",327,327,0
326,5,wda_40008002_003,黃海道 / 海州牧 / 長淵縣,,황해도 / 해주목 / 장연현,,"九百六十四,",964,964,0
327,5,wda_40008002_004,黃海道 / 海州牧 / 康翎縣,,황해도 / 해주목 / 강령현,,"三百八十九,",389,389,0
328,5,wda_40008002_005,黃海道 / 海州牧 / 信川縣,,황해도 / 해주목 / 신천현,,"九百三十六,",936,936,0
329,5,wda_40008003_001,黃海道 / 延安都護府 / 平山都護府,,황해도 / 연안도호부 / 평산도호부,,"二千一百三十,",2131,2130,1
330,5,wda_40008003_002,黃海道 / 延安都護府 / 白川郡,,황해도 / 연안도호부 / 백천군,,"九百九十六,",996,996,0
331,5,wda_40008003_003,黃海道 / 延安都護府 / 牛峯縣,,황해도 / 연안도호부 / 우봉현,,"七百七十八,",778,778,0
332,5,wda_40008003_004,黃海道 / 延安都護府 / 兎山縣,,황해도 / 연안도호부 / 토산현,,"三百七十六,",376,376,0
333,5,wda_40008003_005,黃海道 / 延安都護府 / 江陰縣,,황해도 / 연안도호부 / 강음현,,"三百七十四,",374,374,0
334,5,wda_40008004_001,黃海道 / 豐川郡 / 文化縣,,황해도 / 풍천군 / 문화현,,"九百五十,",950,950,0
335,5,wda_40008004_002,黃海道 / 豐川郡 / 松禾縣·靑松縣,,황해도 / 풍천군 / 송화현·청송현,,"六百八十五,",685,685,0
336,5,wda_40008004_003,黃海道 / 豐川郡 / 殷栗縣,,황해도 / 풍천군 / 은율현,,"三百九十二,",392,392,0
337,5,wda_40008004_004,黃海道 / 豐川郡 / 長連縣·長命鎭,,황해도 / 풍천군 / 장련현·장명진,,"三百三十,",330,330,0
338,5,wda_40009001_001,江原道 / 江陵大都護府 / 襄陽都護府,本府,강원도 / 강릉대도호부 / 양양도호부,본부,"八百五十七,",857,857,0
339,5,wda_40009001_001,江原道 / 江陵大都護府 / 襄陽都護府,洞山縣,강원도 / 강릉대도호부 / 양양도호부,동산현,"一百二十五,",125,125,0
340,5,wda_40009001_002,江原道 / 江陵大都護府 / 旌善郡,,강원도 / 강릉대도호부 / 정선군,,"二百三,",203,203,0
341,5,wda_40009001_003,江原道 / 江陵大都護府 / 平昌郡,,강원도 / 강릉대도호부 / 평창군,,"二百三十三,",233,233,0
342,5,wda_40009002_001,江原道 / 原州牧 / 寧越郡,,강원도 / 원주목 / 영월군,,"三百二十四,",324,324,0
343,5,wda_40009002_002,江原道 / 原州牧 / 橫城縣,,강원도 / 원주목 / 횡성현,,"三百十三,",303,313,-10
344,5,wda_40009002_003,江原道 / 原州牧 / 洪川縣,本縣,강원도 / 원주목 / 홍천현,본현,"四百二十,",420,420,0
345,5,wda_40009002_003,江原道 / 原州牧 / 洪川縣,寺伊巖莊,강원도 / 원주목 / 홍천현,사이암장,"二十四,",24,24,0
346,5,wda_40009003_001,江原道 / 淮陽都護府 / 金城縣,本縣,강원도 / 회양도호부 / 금성현,본현,"三百四十,",340,340,0
347,5,wda_40009003_001,江原道 / 淮陽都護府 / 金城縣,通溝縣,강원도 / 회양도호부 / 금성현,통구현,"七十二,",72,72,0
348,5,wda_40009003_002,江原道 / 淮陽都護府 / 金化縣,,강원도 / 회양도호부 / 김화현,,"一百八十一,",181,181,0
349,5,wda_40009003_003,江原道 / 淮陽都護府 / 平康縣,,강원도 / 회양도호부 / 평강현,,"一百六十三,",163,163,0
350,5,wda_40009003_004,江原道 / 淮陽都護府 / 伊川縣,,강원도 / 회양도호부 / 이천현,,"三百三十三,",333,333,0
351,5,wda_40009004_001,江原道 / 三陟都護府 / 平海郡,,강원도 / 삼척도호부 / 평해군,,"二百四十七,",247,247,0
352,5,wda_40009004_002,江原道 / 三陟都護府 / 蔚珍縣,,강원도 / 삼척도호부 / 울진현,,"二百七十,",270,270,0
353,5,wda_40009005_001,江原道 / 春川都護府 / 狼川縣,,강원도 / 춘천도호부 / 낭천현,,"二百六十四,",264,264,0
354,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,本縣,강원도 / 춘천도호부 / 양구현,본현,"二百九十七,",297,297,0
355,5,wda_40009005_002,江原道 / 春川都護府 / 楊口縣,方山,강원도 / 춘천도호부 / 양구현,방산,"二十,",21,20,1
356,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,本縣,강원도 / 춘천도호부 / 인제현,본현,"一百二十五,",120,125,-5
357,5,wda_40009005_003,江原道 / 春川都護府 / 麟蹄縣,瑞和,강원도 / 춘천도호부 / 인제현,서화,"七十二,",72,72,0
358,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,本郡,강원도 / 간성군 / 고성군,본군,"三百七十五,",375,375,0
359,5,wda_40009006_001,江原道 / 杆城郡 / 高城郡,安昌,강원도 / 간성군 / 고성군,안창,"四十六,",46,46,0
360,5,wda_40009006_002,江原道 / 杆城郡 / 通川郡,本郡,강원도 / 간성군 / 통천군,본군,"二百九十,",290,290,0
