연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자,戶 아라비아,
11,3,wda_400100,平安道,,평안도,,"四萬一千一百六十七,",41167,41167,0
12,3,wda_400110,咸吉道,,함길도,,"一萬四千七百三十九,",14739,14739,0
13,4,wda_40004001,京畿 / 廣州牧,,경기 / 광주목,,"一千四百三十六,",1436,1436,0
14,4,wda_40004002,京畿 / 楊州都護府,,경기 / 양주도호부,,"一千四百八十一,",1481,1481,0
15,4,wda_40004003,京畿 / 水原都護府,,경기 / 수원도호부,,"一千八百四十二,",1842,1842,0
16,4,wda_40004004,京畿 / 鐵原都護府,,경기 / 철원도호부,,"三百五十一,",351,351,0
17,4,wda_40004005,京畿 / 富平都護府,,경기 / 부평도호부,,"四百二十九,",429,429,0
18,4,wda_40005001,忠淸道 / 忠州牧,,충청도 / 충주목,,"一千八百七十一,",1871,1871,0
19,4,wda_40005002,忠淸道 / 淸州牧,,충청도 / 청주목,,"一千五百八十九,",1589,1589,0
20,4,wda_40005003,忠淸道 / 公州牧,,충청도 / 공주목,,"二千一百六十七,",2167,2167,0
21,4,wda_40005004,忠淸道 / 洪州牧,,충청도 / 홍주목,,"一千三百七十九,",1379,1379,0
22,4,wda_40006001,慶尙道 / 慶州府,本府,경상도 / 경주부,본부,"一千五百五十二,",1552,1552,0
23,4,wda_40006001,慶尙道 / 慶州府,安康,경상도 / 경주부,안강,"二百七十單一,",271,271,0
24,4,wda_40006001,慶尙道 / 慶州府,杞溪,경상도 / 경주부,기계,"一百七十七,",177,177,0
25,4,wda_40006001,慶尙道 / 慶州府,神光,경상도 / 경주부,신광,"九十五,",95,95,0
26,4,wda_40006001,慶尙道 / 慶州府,慈仁,경상도 / 경주부,자인,"二百三十七,",237,237,0
27,4,wda_40006002,慶尙道 / 安東大都護府,本府,경상도 / 안동대도호부,본부,"八百四十七,",847,847,0
28,4,wda_40006002,慶尙道 / 安東大都護府,臨河,경상도 / 안동대도호부,임하,"三百二十三,",323,323,0
29,4,wda_40006002,慶尙道 / 安東大都護府,豐山,경상도 / 안동대도호부,풍산,"二百八十二,",282,282,0
30,4,wda_40006002,慶尙道 / 安東大都護府,一直,경상도 / 안동대도호부,일직,"七十二,",72,72,0
31,4,wda_40006002,慶尙道 / 安東大都護府,吉安,경상도 / 안동대도호부,길안,"四十四,",44,44,0
32,4,wda_40006002,慶尙道 / 安東大都護府,甘泉,경상도 / 안동대도호부,감천,"一百六十二,",162,162,0
33,4,wda_40006002,慶尙道 / 安東大都護府,柰城,경상도 / 안동대도호부,내성,"八十三,",83,83,0
34,4,wda_40006002,慶尙道 / 安東大都護府,春陽,경상도 / 안동대도호부,춘양,"四十二,",42,42,0
35,4,wda_40006002,慶尙道 / 安東大都護府,才山,경상도 / 안동대도호부,재산,"三十二,",32,32,0
36,4,wda_40006003,慶尙道 / 尙州牧,本州,경상도 / 상주목,본주,"一千八百四十五,",1845,1845,0
37,4,wda_40006003,慶尙道 / 尙州牧,靑理,경상도 / 상주목,청리,"五十四,",54,54,0
38,4,wda_40006003,慶尙道 / 尙州牧,化寧,경상도 / 상주목,화령,"一百二十九,",129,129,0
39,4,wda_40006003,慶尙道 / 尙州牧,中牟,경상도 / 상주목,중모,"一百九,",109,109,0
40,4,wda_40006003,慶尙道 / 尙州牧,丹密,경상도 / 상주목,단밀,"一百四十,",141,140,1
41,4,wda_40006003,慶尙道 / 尙州牧,山陽,경상도 / 상주목,산양,"一百十二,",102,112,-10
42,4,wda_40006003,慶尙道 / 尙州牧,功城,경상도 / 상주목,공성,"一百十,",101,110,-9
43,4,wda_40006003,慶尙道 / 尙州牧,永順,경상도 / 상주목,영순,"二十二,",22,22,0
44,4,wda_40006004,慶尙道 / 晉州牧,本州,경상도 / 진주목,본주,"一千六百二十八,",1628,1628,0
45,4,wda_40006004,慶尙道 / 晉州牧,班城,경상도 / 진주목,반성,"二百七十七,",277,277,0
46,4,wda_40006004,慶尙道 / 晉州牧,永善,경상도 / 진주목,영선,"二百五十四,",254,254,0
47,4,wda_40006004,慶尙道 / 晉州牧,岳陽,경상도 / 진주목,악양,"六十單一,",61,61,0
48,4,wda_40007001,全羅道 / 全州府,,전라도 / 전주부,,"一千五百六十五,",1565,1565,0
49,4,wda_40007002,全羅道 / 羅州牧,,전라도 / 나주목,,"一千八十九,",1089,1089,0
50,4,wda_40007003,全羅道 / 南原都護府,,전라도 / 남원도호부,,"一千三百,",1301,1300,1
51,4,wda_40007004,全羅道 / 長興都護府,,전라도 / 장흥도호부,,"二百七十六,",276,276,0
52,4,wda_40007005,全羅道 / 濟州牧,,전라도 / 제주목,,"五千二百七,",5207,5207,0
53,4,wda_40008001,黃海道 / 黃州牧,,황해도 / 황주목,,"二千三十四,",2034,2034,0
54,4,wda_40008002,黃海道 / 海州牧,,황해도 / 해주목,,"一千九百二十六,",1926,1926,0
55,4,wda_40008003,黃海道 / 延安都護府,,황해도 / 연안도호부,,"一千五百八十三,",1583,1583,0
56,4,wda_40008004,黃海道 / 豐川郡,,황해도 / 풍천군,,"三百三十九,",339,339,0
57,4,wda_40009001,江原道 / 江陵大都護府,本府,강원도 / 강릉대도호부,본부,"一千二十五,",1025,1025,0
58,4,wda_40009001,江原道 / 江陵大都護府,連谷,강원도 / 강릉대도호부,연곡,"一百單四,",104,104,0
59,4,wda_40009001,江原道 / 江陵大都護府,羽溪,강원도 / 강릉대도호부,우계,"二百二十五,",225,225,0
60,4,wda_40009002,江原道 / 原州牧,本州,강원도 / 원주목,본주,"一千一百四十八,",1148,1148,0
61,4,wda_40009002,江原道 / 原州牧,酒泉縣,강원도 / 원주목,주천현,"一百六十三,",163,163,0
62,4,wda_40009003,江原道 / 淮陽都護府,本府,강원도 / 회양도호부,본부,"二百二十二,",222,222,0
63,4,wda_40009003,江原道 / 淮陽都護府,和川縣,강원도 / 회양도호부,화천현,十九,19,19,0
64,4,wda_40009003,江原道 / 淮陽都護府,水入縣,강원도 / 회양도호부,수입현,"四十一,",41,41,0
65,4,wda_40009003,江原道 / 淮陽都護府,文登縣,강원도 / 회양도호부,문등현,十四,14,14,0
66,4,wda_40009003,江原道 / 淮陽都護府,風谷縣,강원도 / 회양도호부,남곡현,十一,11,11,0
67,4,wda_40009003,江原道 / 淮陽都護府,長楊縣,강원도 / 회양도호부,장양현,"一百單四,",104,104,0
68,4,wda_40009004,江原道 / 三陟都護府,,강원도 / 삼척도호부,,"五百八十一,",581,581,0
69,4,wda_40009005,江原道 / 春川都護府,本府,강원도 / 춘천도호부,본부,"一千一百十九,",1109,1119,-10
70,4,wda_40009005,江原道 / 春川都護府,基麟,강원도 / 춘천도호부,기린,"一百單八,",108,108,0
71,4,wda_40009006,江原道 / 杆城郡,本郡,강원도 / 간성군,본군,"二百二十七,",227,227,0
72,4,wda_40009006,江原道 / 杆城郡,烈山,강원도 / 간성군,열산,"一百單五,",105,105,0
73,4,wda_40010001,平安道 / 平壤府,,평안도 / 평양부,,"八千一百二十五,",8125,8125,0
74,4,wda_40010002,平安道 / 安州牧,,평안도 / 안주목,,"二千六百九十,",2690,2690,0
75,4,wda_40010003,平安道 / 義州牧,,평안도 / 의주목,,"五百三十一,",531,531,0
76,4,wda_40010004,平安道 / 朔州都護府,,평안도 / 삭주도호부,,"二百二十二,",222,222,0
77,4,wda_40010005,平安道 / 江界都護府,,평안도 / 강계도호부,,"六百四,",604,604,0
78,4,wda_40011001,咸吉道 / 咸興府,,함길도 / 함흥부,,"三千五百三十八,",3538,3538,0
79,4,wda_40011002,咸吉道 / 永興大都護府,,함길도 / 영흥대도호부,,"二千一百九十一,",2191,2191,0
80,4,wda_40011003,咸吉道 / 安邊都護府,,함길도 / 안변도호부,,"一千三十,",1030,1030,0
81,4,wda_40011004,咸吉道 / 吉州牧,,함길도 / 길주목,,"一千六百七十三,",1673,1673,0
82,4,wda_40011005,咸吉道 / 慶源都護府,,함길도 / 경원도호부,,"一千一百六十二,",1162,1162,0
83,4,wda_40011006,咸吉道 / 會寧都護府,,함길도 / 회령도호부,,"六百二十四,",624,624,0
84,4,wda_40011007,咸吉道 / 鍾城都護府,,함길도 / 종성도호부,,"九百,",900,900,0
85,4,wda_40011008,咸吉道 / 穩城都護府,,함길도 / 온성도호부,,"八百,",800,800,0
86,4,wda_40011009,咸吉道 / 慶興都護府,,함길도 / 경흥도호부,,"四百二,",402,402,0
87,4,wda_40011010,咸吉道 / 富寧都護府,,함길도 / 부녕도호부,,"二百六十二,",262,262,0
88,4,wda_40011011,咸吉道 / 三水郡,,함길도 / 삼수군,,"一百十三,",113,113,0
89,5,wda_40004001_001,京畿 / 廣州牧 / 驪興都護府,,경기 / 광주목 / 여흥도호부,,"五百三十八,",538,538,0
90,5,wda_40004001_002,京畿 / 廣州牧 / 楊根郡,,경기 / 광주목 / 양근군,,"三百八十八,",388,388,0
91,5,wda_40004001_003,京畿 / 廣州牧 / 陰竹縣,,경기 / 광주목 / 음죽현,,"三百九十,",390,390,0
92,5,wda_40004001_004,京畿 / 廣州牧 / 利川縣,,경기 / 광주목 / 이천현,,"一千二十六,",1026,1026,0
93,5,wda_40004001_005,京畿 / 廣州牧 / 果川縣,,경기 / 광주목 / 과천현,,"二百四十四,",244,244,0
94,5,wda_40004001_006,京畿 / 廣州牧 / 川寧縣,,경기 / 광주목 / 천녕현,,"四百十三,",403,413,-10
95,5,wda_40004001_007,京畿 / 廣州牧 / 砥平縣,,경기 / 광주목 / 지평현,,"二百六十七,",267,267,0
96,5,wda_40004001_008,京畿 / 廣州牧 / 衿川縣,,경기 / 광주목 / 금천현,,"三百二十七,",327,327,0
97,5,wda_40004002_001,京畿 / 楊州都護府 / 原平都護府,,경기 / 양주도호부 / 원평도호부,,"四百九十四,",494,494,0
98,5,wda_40004002_002,京畿 / 楊州都護府 / 高陽縣,,경기 / 양주도호부 / 고양현,,"六百七十九,",679,679,0
99,5,wda_40004002_003,京畿 / 楊州都護府 / 交河縣,,경기 / 양주도호부 / 교하현,,"五百九十,",590,590,0
100,5,wda_40004002_004,京畿 / 楊州都護府 / 臨津縣,,경기 / 양주도호부 / 임진현,,"二百七十四,",274,274,0
101,5,wda_40004002_005,京畿 / 楊州都護府 / 積城縣,,경기 / 양주도호부 / 적성현,,"二百十二,",202,212,-10
102,5,wda_40004002_006,京畿 / 楊州都護府 / 抱川縣,,경기 / 양주도호부 / 포천현,,"三百七十一,",371,371,0
103,5,wda_40004002_007,京畿 / 楊州都護府 / 加平縣,,경기 / 양주도호부 / 가평현,,"二百八十八,",288,288,0
104,5,wda_40004003_001,京畿 / 水原都護府 / 南陽都護府,,경기 / 수원도호부 / 남양도호부,,"四百八十七,",487,487,0
105,5,wda_40004003_002,京畿 / 水原都護府 / 安山郡,,경기 / 수원도호부 / 안산군,,"三百單二,",302,302,0
106,5,wda_40004003_003,京畿 / 水原都護府 / 安城郡,,경기 / 수원도호부 / 안성군,,"四百二十四,",424,424,0
107,5,wda_40004003_004,京畿 / 水原都護府 / 振威縣,,경기 / 수원도호부 / 진위현,,"二百二十一,",221,221,0
108,5,wda_40004003_005,京畿 / 水原都護府 / 龍仁縣,,경기 / 수원도호부 / 용인현,,"四百五十七,",457,457,0
109,5,wda_40004003_006,京畿 / 水原都護府 / 陽城縣,,경기 / 수원도호부 / 양성현,,"四百二十五,",425,425,0
110,5,wda_40004003_007,京畿 / 水原都護府 / 陽智縣,,경기 / 수원도호부 / 양지현,,"三百四十六,",346,346,0
111,5,wda_40004004_001,京畿 / 鐵原都護府 / 朔寧郡,,경기 / 철원도호부 / 삭녕군,,"二百三十三,",233,233,0
112,5,wda_40004004_002,京畿 / 鐵原都護府 / 永平縣,,경기 / 철원도호부 / 영평현,,"一百三十八,",138,138,0
113,5,wda_40004004_003,京畿 / 鐵原都護府 / 長湍縣,,경기 / 철원도호부 / 장단현,,"一百七十,",171,170,1
114,5,wda_40004004_004,京畿 / 鐵原都護府 / 安峽縣,,경기 / 철원도호부 / 안협현,,一百四十,140,140,0
115,5,wda_40004004_005,京畿 / 鐵原都護府 / 臨江縣,,경기 / 철원도호부 / 임강현,,"三百六十四,",364,364,0
116,5,wda_40004004_006,京畿 / 鐵原都護府 / 麻田縣,,경기 / 철원도호부 / 마전현,,"一百四十六,",146,146,0
117,5,wda_40004004_007,京畿 / 鐵原都護府 / 漣川縣,,경기 / 철원도호부 / 연천현,,"一百八十六,",186,186,0
118,5,wda_40004005_001,京畿 / 富平都護府 / 江華都護府,,경기 / 부평도호부 / 강화도호부,,"二千四百四十五,",2445,2445,0
119,5,wda_40004005_002,京畿 / 富平都護府 / 仁川郡,,경기 / 부평도호부 / 인천군,,"三百五十七,",357,357,0
120,5,wda_40004005_003,京畿 / 富平都護府 / 海豐郡,,경기 / 부평도호부 / 해풍군,,"七百九十二,",792,792,0
121,5,wda_40004005_004,京畿 / 富平都護府 / 金浦縣,,경기 / 부평도호부 / 김포현,,"三百十八,",308,318,-10
122,5,wda_40004005_005,京畿 / 富平都護府 / 陽川縣,,경기 / 부평도호부 / 양천현,,"二百二十二,",222,222,0
123,5,wda_40004005_006,京畿 / 富平都護府 / 喬桐縣,,경기 / 부평도호부 / 교동현,,"二百二十一,",221,221,0
124,5,wda_40004005_007,京畿 / 富平都護府 / 通津縣,,경기 / 부평도호부 / 통진현,,"四百五十八,",458,458,0
125,5,wda_40005001_001,忠淸道 / 忠州牧 / 丹陽郡,,충청도 / 충주목 / 단양군,,"二百三十五,",235,235,0
126,5,wda_40005001_002,忠淸道 / 忠州牧 / 淸風郡,,충청도 / 충주목 / 청풍군,,"一百九十一,",191,191,0
127,5,wda_40005001_003,忠淸道 / 忠州牧 / 槐山郡,,충청도 / 충주목 / 괴산군,,"四百四十五,",445,445,0
128,5,wda_40005001_004,忠淸道 / 忠州牧 / 陰城縣,,충청도 / 충주목 / 음성현,,"一百七十一,",171,171,0
129,5,wda_40005001_005,忠淸道 / 忠州牧 / 延豊縣,,충청도 / 충주목 / 연풍현,,"一百四十三,",143,143,0
130,5,wda_40005001_006,忠淸道 / 忠州牧 / 堤川縣,,충청도 / 충주목 / 제천현,,"四百十五,",405,415,-10
131,5,wda_40005001_007,忠淸道 / 忠州牧 / 永春縣,,충청도 / 충주목 / 영춘현,,"一百九十五,",195,195,0
132,5,wda_40005002_001,忠淸道 / 淸州牧 / 天安郡,,충청도 / 청주목 / 천안군,,"五百六,",506,506,0
133,5,wda_40005002_002,忠淸道 / 淸州牧 / 沃川郡,,충청도 / 청주목 / 옥천군,,"五百五十八,",558,558,0
134,5,wda_40005002_003,忠淸道 / 淸州牧 / 文義縣,,충청도 / 청주목 / 문의현,,"三百五十三,",353,353,0
135,5,wda_40005002_004,忠淸道 / 淸州牧 / 木川縣,,충청도 / 청주목 / 목천현,,"四百四,",404,404,0
136,5,wda_40005002_005,忠淸道 / 淸州牧 / 竹山縣,,충청도 / 청주목 / 죽산현,,"四百七十,",470,470,0
137,5,wda_40005002_006,忠淸道 / 淸州牧 / 靑安縣,,충청도 / 청주목 / 청안현,,"二百九十三,",293,293,0
138,5,wda_40005002_007,忠淸道 / 淸州牧 / 全義縣,,충청도 / 청주목 / 전의현,,"一百六十六,",166,166,0
139,5,wda_40005002_008,忠淸道 / 淸州牧 / 燕岐縣,,충청도 / 청주목 / 연기현,,"三百四十八,",348,348,0
140,5,wda_40005002_009,忠淸道 / 淸州牧 / 稷山縣,,충청도 / 청주목 / 직산현,,"五百五十三,",553,553,0
141,5,wda_40005002_010,忠淸道 / 淸州牧 / 平澤縣,,충청도 / 청주목 / 평택현,,"一百七十九,",179,179,0
142,5,wda_40005002_011,忠淸道 / 淸州牧 / 溫水縣,,충청도 / 청주목 / 온수현,,"三百四十三,",343,343,0
143,5,wda_40005002_012,忠淸道 / 淸州牧 / 新昌縣,,충청도 / 청주목 / 신창현,,"三百三十八,",338,338,0
144,5,wda_40005002_013,忠淸道 / 淸州牧 / 牙山縣,,충청도 / 청주목 / 아산현,,"四百八十二,",482,482,0
145,5,wda_40005002_014,忠淸道 / 淸州牧 / 永同縣,,충청도 / 청주목 / 영동현,,"二百二十七,",227,227,0
146,5,wda_40005002_015,忠淸道 / 淸州牧 / 黃澗縣,,충청도 / 청주목 / 황간현,,"三百八,",308,308,0
147,5,wda_40005002_016,忠淸道 / 淸州牧 / 懷仁縣,,충청도 / 청주목 / 회인현,,"一百四十六,",146,146,0
148,5,wda_40005002_017,忠淸道 / 淸州牧 / 報恩縣,,충청도 / 청주목 / 보은현,,"三百二十七,",327,327,0
149,5,wda_40005002_018,忠淸道 / 淸州牧 / 靑山縣,,충청도 / 청주목 / 청산현,,"二百三十五,",235,235,0
150,5,wda_40005002_019,忠淸道 / 淸州牧 / 鎭川縣,,충청도 / 청주목 / 진천현,,"五百五十,",550,550,0
151,5,wda_40005003_001,忠淸道 / 公州牧 / 林川郡,,충청도 / 공주목 / 임천군,,"四百六十,",460,460,0
152,5,wda_40005003_002,忠淸道 / 公州牧 / 韓山郡,,충청도 / 공주목 / 한산군,,"三百四十二,",342,342,0
153,5,wda_40005003_003,忠淸道 / 公州牧 / 舒川郡,,충청도 / 공주목 / 서천군,,"四百二十一,",421,421,0
154,5,wda_40005003_004,忠淸道 / 公州牧 / 藍浦縣,,충청도 / 공주목 / 남포현,,"一百八十,",180,180,0
155,5,wda_40005003_005,忠淸道 / 公州牧 / 庇仁縣,,충청도 / 공주목 / 비인현,,"一百六十六,",166,166,0
156,5,wda_40005003_006,忠淸道 / 公州牧 / 定山縣,,충청도 / 공주목 / 정산현,,"二百五十八,",258,258,0
157,5,wda_40005003_007,忠淸道 / 公州牧 / 鴻山縣,,충청도 / 공주목 / 홍산현,,"三百四十八,",348,348,0
158,5,wda_40005003_008,忠淸道 / 公州牧 / 恩津縣,,충청도 / 공주목 / 은진현,,"五百六,",506,506,0
159,5,wda_40005003_009,忠淸道 / 公州牧 / 連山縣,,충청도 / 공주목 / 연산현,,"三百七十八,",378,378,0
160,5,wda_40005003_010,忠淸道 / 公州牧 / 懷德縣,,충청도 / 공주목 / 회덕현,,"三百,",300,300,0
161,5,wda_40005003_011,忠淸道 / 公州牧 / 石城縣,,충청도 / 공주목 / 석성현,,"三百九十五,",395,395,0
162,5,wda_40005003_012,忠淸道 / 公州牧 / 鎭岑縣,,충청도 / 공주목 / 진잠현,,"一百五十三,",153,153,0
163,5,wda_40005003_013,忠淸道 / 公州牧 / 扶餘縣,,충청도 / 공주목 / 부여현,,"三百八十二,",382,382,0
164,5,wda_40005003_014,忠淸道 / 公州牧 / 尼山縣,,충청도 / 공주목 / 이산현,,"三百八十四,",384,384,0
165,5,wda_40005004_001,忠淸道 / 洪州牧 / 泰安郡,,충청도 / 홍주목 / 태안군,,"一百七十三,",173,173,0
166,5,wda_40005004_002,忠淸道 / 洪州牧 / 瑞山郡,,충청도 / 홍주목 / 서산군,,"四百八十九,",489,489,0
167,5,wda_40005004_003,忠淸道 / 洪州牧 / 沔川郡,,충청도 / 홍주목 / 면천군,,"四百五,",405,405,0
168,5,wda_40005004_004,忠淸道 / 洪州牧 / 海美縣,,충청도 / 홍주목 / 해미현,,"二百五十八,",258,258,0
169,5,wda_40005004_005,忠淸道 / 洪州牧 / 唐津縣,,충청도 / 홍주목 / 당진현,,"二百八十四,",284,284,0
170,5,wda_40005004_006,忠淸道 / 洪州牧 / 德山縣,,충청도 / 홍주목 / 덕산현,,"六百四十九,",649,649,0
171,5,wda_40005004_007,忠淸道 / 洪州牧 / 禮山縣,,충청도 / 홍주목 / 예산현,,"三百二十一,",321,321,0
172,5,wda_40005004_008,忠淸道 / 洪州牧 / 靑陽縣,,충청도 / 홍주목 / 청양현,,"二百六十五,",265,265,0
173,5,wda_40005004_009,忠淸道 / 洪州牧 / 保寧縣,,충청도 / 홍주목 / 보령현,,"三百六十五,",365,365,0
174,5,wda_40005004_010,忠淸道 / 洪州牧 / 結城縣,,충청도 / 홍주목 / 결성현,,"三百四,",304,304,0
175,5,wda_40005004_011,忠淸道 / 洪州牧 / 大興縣,,충청도 / 홍주목 / 대흥현,,"三百八十八,",388,388,0
176,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,本府,경상도 / 경주부 / 밀양도호부,본부,"一千六百十二,",1612,1612,0
177,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,守山,경상도 / 경주부 / 밀양도호부,수산,"九十三,",93,93,0
178,5,wda_40006001_001,慶尙道 / 慶州府 / 密陽都護府,豐角,경상도 / 경주부 / 밀양도호부,풍각,"二百九十四,",294,294,0
179,5,wda_40006001_002,慶尙道 / 慶州府 / 梁山郡,,경상도 / 경주부 / 양산군,,"四百二十五,",425,425,0
180,5,wda_40006001_003,慶尙道 / 慶州府 / 蔚山郡,,경상도 / 경주부 / 울산군,,"一千五十八,",1058,1058,0
181,5,wda_40006001_004,慶尙道 / 慶州府 / 淸道郡,,경상도 / 경주부 / 청도군,,"六百四十九,",649,649,0
182,5,wda_40006001_005,慶尙道 / 慶州府 / 興海郡,,경상도 / 경주부 / 흥해군,,"四百二十三,",423,423,0
183,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,本郡,경상도 / 경주부 / 대구군,본군,"四百三十六,",436,436,0
184,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,壽城,경상도 / 경주부 / 대구군,수성,"二百六十四,",264,264,0
185,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,河濱,경상도 / 경주부 / 대구군,하빈,"三百五十一,",351,351,0
186,5,wda_40006001_006,慶尙道 / 慶州府 / 大丘郡,解顔縣,경상도 / 경주부 / 대구군,해안현,"一百九十八,",198,198,0
187,5,wda_40006001_007,慶尙道 / 慶州府 / 慶山縣,,경상도 / 경주부 / 경산현,,"三百十八,",308,318,-10
188,5,wda_40006001_008,慶尙道 / 慶州府 / 東萊縣,本縣,경상도 / 경주부 / 동래현,본현,"二百九十,",290,290,0
189,5,wda_40006001_008,慶尙道 / 慶州府 / 東萊縣,東平,경상도 / 경주부 / 동래현,동평,"一百八,",108,108,0
190,5,wda_40006001_009,慶尙道 / 慶州府 / 昌寧縣,,경상도 / 경주부 / 창녕현,,"八百二十五,",825,825,0
191,5,wda_40006001_010,慶尙道 / 慶州府 / 彦陽縣,,경상도 / 경주부 / 언양현,,"四百二十一,",421,421,0
192,5,wda_40006001_011,慶尙道 / 慶州府 / 機張縣,,경상도 / 경주부 / 기장현,,"一百七十四,",174,174,0
193,5,wda_40006001_012,慶尙道 / 慶州府 / 長鬐縣,,경상도 / 경주부 / 장기현,,"二百三,",203,203,0
194,5,wda_40006001_013,慶尙道 / 慶州府 / 靈山縣,本縣,경상도 / 경주부 / 영산현,본현,"二百五十七,",257,257,0
195,5,wda_40006001_013,慶尙道 / 慶州府 / 靈山縣,桂城,경상도 / 경주부 / 영산현,계성,"二百十四,",204,214,-10
196,5,wda_40006001_014,慶尙道 / 慶州府 / 玄風縣,,경상도 / 경주부 / 현풍현,,"四百七十七,",477,477,0
197,5,wda_40006001_015,慶尙道 / 慶州府 / 迎日縣,,경상도 / 경주부 / 영일현,,"四百十七,",407,417,-10
198,5,wda_40006001_016,慶尙道 / 慶州府 / 淸河縣,,경상도 / 경주부 / 청하현,,"二百三十五,",235,235,0
199,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,本府,경상도 / 안동대도호부 / 영해도호부,본부,"二百十五,",205,215,-10
200,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,英陽,경상도 / 안동대도호부 / 영해도호부,영양,"四十,",41,40,1
201,5,wda_40006002_001,慶尙道 / 安東大都護府 / 寧海都護府,靑杞,경상도 / 안동대도호부 / 영해도호부,청기,"二十九,",29,29,0
202,5,wda_40006002_002,慶尙道 / 安東大都護府 / 順興都護府,,경상도 / 안동대도호부 / 순흥도호부,,"二百八十四,",284,284,0
203,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,本郡,경상도 / 안동대도호부 / 예천군,본군,"七百八十一,",781,781,0
204,5,wda_40006002_003,慶尙道 / 安東大都護府 / 醴泉郡,多仁,경상도 / 안동대도호부 / 예천군,다인,"三百十一,",301,311,-10
205,5,wda_40006002_004,慶尙道 / 安東大都護府 / 榮川郡,,경상도 / 안동대도호부 / 영천군,,"三百七十七,",377,377,0
206,5,wda_40006002_005,慶尙道 / 安東大都護府 / 永川郡,,경상도 / 안동대도호부 / 영천군,,"八百六十三,",863,863,0
207,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,靑鳧,경상도 / 안동대도호부 / 청송군,청부,"三十六,",36,36,0
208,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,松生,경상도 / 안동대도호부 / 청송군,송생,"五十,",50,50,0
209,5,wda_40006002_006,慶尙道 / 安東大都護府 / 靑松郡,安德,경상도 / 안동대도호부 / 청송군,안덕,"四十八,",48,48,0
210,5,wda_40006002_007,慶尙道 / 安東大都護府 / 義城縣,,경상도 / 안동대도호부 / 의성현,,"六百三十七,",637,637,0
211,5,wda_40006002_008,慶尙道 / 安東大都護府 / 盈德縣,,경상도 / 안동대도호부 / 영덕현,,"二百八十六,",286,286,0
212,5,wda_40006002_009,慶尙道 / 安東大都護府 / 禮安縣,,경상도 / 안동대도호부 / 예안현,,"一百七十四,",174,174,0
213,5,wda_40006002_010,慶尙道 / 安東大都護府 / 河陽縣,,경상도 / 안동대도호부 / 하양현,,"一百七十七,",177,177,0
214,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,本縣,경상도 / 안동대도호부 / 기천현,본현,"一百六十,",160,160,0
215,5,wda_40006002_011,慶尙道 / 安東大都護府 / 基川縣,殷豐,경상도 / 안동대도호부 / 기천현,은풍,"七十五,",75,75,0
216,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,本縣,경상도 / 안동대도호부 / 인동현,본현,三百,300,300,0
217,5,wda_40006002_012,慶尙道 / 安東大都護府 / 仁同縣,若木,경상도 / 안동대도호부 / 인동현,약목,"三百三十七,",337,337,0
218,5,wda_40006002_013,慶尙道 / 安東大都護府 / 奉化縣,,경상도 / 안동대도호부 / 봉화현,,"二百四十三,",243,243,0
219,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,本縣,경상도 / 안동대도호부 / 의흥현,본현,"三百單七,",307,307,0
220,5,wda_40006002_014,慶尙道 / 安東大都護府 / 義興縣,缶溪,경상도 / 안동대도호부 / 의흥현,부계,"一百十七,",107,117,-10
221,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,本縣,경상도 / 안동대도호부 / 신녕현,본현,"三百八十二,",382,382,0
222,5,wda_40006002_015,慶尙道 / 安東大都護府 / 新寧縣,梨旨,경상도 / 안동대도호부 / 신녕현,이지,"八十八,",88,88,0
223,5,wda_40006002_016,慶尙道 / 安東大都護府 / 眞寶縣,,경상도 / 안동대도호부 / 진보현,,"七十八,",78,78,0
224,5,wda_40006002_017,慶尙道 / 安東大都護府 / 比安縣,比屋,경상도 / 안동대도호부 / 비안현,비옥,"二百六十六,",266,266,0
