연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,口 한문,口 아라비아 숫자
1,3,wda_400020,京都漢城府,五部,경도한양부,오부,,173759
2,3,wda_400020,京都漢城府,城底十里,경도한양부,성저십리,,94248
3,3,wda_400030,舊都開城留後司,都城,개성유후사,도성,"八千三百七十二,",100790
4,3,wda_400030,舊都開城留後司,屬縣 開城,개성유후사,속현개성,"二千二十一,",71897
5,3,wda_400040,京畿,,경기,,五萬三百五十二。,50352
6,3,wda_400050,忠淸道,,충청도,,一十萬七百九十。,5444
7,3,wda_400060,慶尙道,,경상도,,十七萬三千七百五十九。,3703
8,3,wda_400070,全羅道,,전라도,,"九萬四千二百四十八,",1722
9,3,wda_400080,黃海道,,황해도,,七萬一千八百九十七。,1923
10,3,wda_400090,江原道,,강원도,,二萬九千單九。,29009
11,3,wda_400100,平安道,,평안도,,十萬五千四百四十四。,3898
12,3,wda_400110,咸吉道,,함길도,,六萬六千九百七十八。,2828
13,4,wda_40004001,京畿 / 廣州牧,,경기 / 광주목,,三千一百單十。,2125
14,4,wda_40004002,京畿 / 楊州都護府,,경기 / 양주도호부,,二千七百二十六。,588
15,4,wda_40004003,京畿 / 水原都護府,,경기 / 수원도호부,,四千九百二十六。,2180
16,4,wda_40004004,京畿 / 鐵原都護府,,경기 / 철원도호부,,七百七十。,971
17,4,wda_40004005,京畿 / 富平都護府,,경기 / 부평도호부,,九百五十四。,657
18,4,wda_40005001,忠淸道 / 忠州牧,,충청도 / 충주목,,七千四百五十二。,3189
19,4,wda_40005002,忠淸道 / 淸州牧,,충청도 / 청주목,,六千七百三十八。,5906
20,4,wda_40005003,忠淸道 / 公州牧,,충청도 / 공주목,,一萬四十九。,66978
21,4,wda_40005004,忠淸道 / 洪州牧,,충청도 / 홍주목,,六千三十一。,5894
22,4,wda_40006001,慶尙道 / 慶州府,本府,경상도 / 경주부,본부,五千八百九十四。,6642
23,4,wda_40006001,慶尙道 / 慶州府,安康,경상도 / 경주부,안강,一千四百五十。,5829
24,4,wda_40006001,慶尙道 / 慶州府,杞溪,경상도 / 경주부,기계,四百九十單一。,5807
25,4,wda_40006001,慶尙道 / 慶州府,神光,경상도 / 경주부,신광,四百四十八。,10049
26,4,wda_40006001,慶尙道 / 慶州府,慈仁,경상도 / 경주부,자인,一千六。,4955
27,4,wda_40006002,慶尙道 / 安東大都護府,本府,경상도 / 안동대도호부,본부,三千三百二十。,66
28,4,wda_40006002,慶尙道 / 安東大都護府,臨河,경상도 / 안동대도호부,임하,一千九百單五。,4182
29,4,wda_40006002,慶尙道 / 安東大都護府,豐山,경상도 / 안동대도호부,풍산,一千三(千)〔十〕九。,5522
30,4,wda_40006002,慶尙道 / 安東大都護府,一直,경상도 / 안동대도호부,일직,八十三。,3132
31,4,wda_40006002,慶尙道 / 安東大都護府,吉安,경상도 / 안동대도호부,길안,一百六十三。,3320
32,4,wda_40006002,慶尙道 / 安東大都護府,甘泉,경상도 / 안동대도호부,감천,五百二十四。,6738
33,4,wda_40006002,慶尙道 / 安東大都護府,柰城,경상도 / 안동대도호부,내성,三百七十一。,7452
34,4,wda_40006002,慶尙道 / 安東大都護府,春陽,경상도 / 안동대도호부,춘양,一百單五。,1329
35,4,wda_40006002,慶尙道 / 安東大都護府,才山,경상도 / 안동대도호부,재산,一百五十七。,6804
36,4,wda_40006003,慶尙道 / 尙州牧,本州,경상도 / 상주목,본주,三千一百三十二。,1949
37,4,wda_40006003,慶尙道 / 尙州牧,靑理,경상도 / 상주목,청리,三百七。,14440
38,4,wda_40006003,慶尙道 / 尙州牧,化寧,경상도 / 상주목,화령,五百五十七。,4926
39,4,wda_40006003,慶尙道 / 尙州牧,中牟,경상도 / 상주목,중모,一百五十。,6031
